Age,Gender,Marital Status,"How many children do you have, if any?",Education Level,Employment Status,Monthly Household Income,Did you vote in the previous election?,"If you didn't vote, what was the reason?",Would you be willing to vote in the next election?,How interested are you in politics?,How do you get your news and information about politics?/Other,"If other, specify.",Key Issues Summary,News Sources Summary
50-59,Male,Divorced,5.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
30-39,Female,Married,2.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Crime and Safety Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
30-39,Male,Married,3.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,Social Media TV News Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
50-59,Female,Married,6.0,Secondary,Unemployed,60k+,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Education Healthcare Crime and Safety Transportation/Infrastructure Social Justice/Equality; 1.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0,Radio Print Newspapers; 0.0; 0.0; 1.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
50-59,Female,Widowed,4.0,Unknown,Unemployed,Less than 10000,No,I didn't think my vote would make a difference,Not sure,Not at all Interested,0.0,Not specified,Education Jobs/Employment Healthcare Crime and Safety Transportation/Infrastructure Environment/Climate Change; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
40-49,Male,Married,3.0,Tertiary,Self-employed, 40001-50000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Taxes Crime and Safety; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
50-59,Male,Married,6.0,Unknown,Unemployed,Less than 10000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Crime and Safety Transportation/Infrastructure Environment/Climate Change; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
30-39,Female,Married,2.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Taxes Crime and Safety Jobs/Employment Education; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,Radio Social Media TV News; 1.0; 1.0; 0.0; 0.0; 1.0
40-49,Female,Divorced,3.0,Secondary,Unemployed,Less than 10000,No,I didn't think my vote would make a difference,Likely,Slightly interested,0.0,Not specified,Education Taxes Crime and Safety Jobs/Employment; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Taxes Crime and Safety Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
30-39,Male,Married,4.0,Secondary,Self-employed, 20001-30000,Yes,No reason provided,Not sure,Interested,0.0,Not specified,Jobs/Employment Taxes Crime and Safety; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
50-59,Female,Widowed,7.0,Primary,Self-employed,Less than 10000,No,I didn't have time,Very Unlikely,Not at all Interested,0.0,Not specified,Taxes Crime and Safety Affordable Housing Jobs/Employment Healthcare Education Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
<20,Female,Single,0.0,Tertiary,Student, 20001-30000,No,I was not eligible to vote,Likely,Slightly interested,0.0,Not specified,Taxes Education Jobs/Employment; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
60,Male,Married,9.0,Primary,Self-employed, 40001-50000,No,I didn't like the candidates,Very Unlikely,Not at all Interested,0.0,Not specified,Taxes Social Justice/Equality Crime and Safety Healthcare; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
40-49,Male,Married,3.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Not sure,Slightly interested,0.0,Not specified,Taxes Affordable Housing Jobs/Employment; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,Radio TV News; 1.0; 0.0; 0.0; 0.0; 1.0
30-39,Female,Divorced,2.0,Tertiary,Self-employed, 40001-50000,Yes,No reason provided,Not sure,Interested,0.0,Not specified,Jobs/Employment Crime and Safety Taxes; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
20-29,Female,Single,0.0,Tertiary,Student, 20001-30000,No,I didn't have time,Not sure,Interested,0.0,Not specified,Taxes Crime and Safety Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,Online News Websites Social Media; 0.0; 1.0; 0.0; 1.0; 0.0
30-39,Male,Married,2.0,Secondary,Self-employed, 20001-30000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Education Crime and Safety Other ; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Primary,Self-employed,Less than 10000,No,Other,Not sure,Not at all Interested,0.0,Not specified,Education Jobs/Employment Social Justice/Equality; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
30-39,Male,Married,1.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Social Justice/Equality Other  Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Married,0.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Jobs/Employment Other ; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
30-39,Female,Divorced,3.0,Secondary,Self-employed, 20001-30000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Jobs/Employment Taxes; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Secondary,Unemployed,Less than 10000,No,I didn't think my vote would make a difference,Likely,Slightly interested,0.0,Not specified,Jobs/Employment Taxes Social Justice/Equality; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
30-39,Female,Widowed,2.0,Tertiary,Employed,60k+,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites; 1.0; 1.0; 1.0; 1.0; 0.0
30-39,Female,Married,1.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites; 1.0; 1.0; 1.0; 1.0; 0.0
50-59,Female,Married,3.0,Tertiary,Employed,60k+,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Jobs/Employment Healthcare Crime and Safety Transportation/Infrastructure Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0,TV News Print Newspapers; 1.0; 0.0; 1.0; 0.0; 0.0
30-39,Female,Married,2.0,Tertiary,Self-employed, 20001-30000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
50-59,Male,Married,5.0,Tertiary,Employed,60k+,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0,TV News Print Newspapers; 1.0; 0.0; 1.0; 0.0; 0.0
60,Female,Widowed,7.0,Secondary,Unemployed,60k+,Yes,No reason provided,Not sure,Slightly interested,0.0,Not specified,Education Healthcare Crime and Safety Taxes; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Secondary,Student,Less than 10000,No,I was not eligible to vote,Very likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
<20,Male,Single,0.0,Secondary,Student,Less than 10000,No,I was not eligible to vote,Likely,Slightly interested,0.0,Not specified,Education Healthcare Jobs/Employment Social Justice/Equality; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,Print Newspapers TV News Social Media Radio; 1.0; 1.0; 1.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Student,10001-20000,No,I didn't think my vote would make a difference,Not sure,Interested,0.0,Not specified,Jobs/Employment Crime and Safety Taxes Social Justice/Equality; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
40-49,Female,Single,0.0,Tertiary,Self-employed, 40001-50000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Crime and Safety Environment/Climate Change Taxes Other ; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 1.0,TV News Radio Online News Websites; 1.0; 0.0; 0.0; 1.0; 1.0
60,Male,Widowed,5.0,Secondary,Self-employed,60k+,No,Other,Not sure,Interested,1.0,Wazee( Bunge la wananchi),Healthcare Crime and Safety Environment/Climate Change Taxes; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0,TV News Print Newspapers Radio Other ; 1.0; 0.0; 1.0; 0.0; 1.0
40-49,Female,Married,3.0,Secondary,Self-employed, 20001-30000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Jobs/Employment Crime and Safety Environment/Climate Change Taxes; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0,TV News Radio Print Newspapers; 1.0; 0.0; 1.0; 0.0; 1.0
<20,Female,Single,0.0,Secondary,Student,Less than 10000,No,I was not eligible to vote,Likely,Interested,0.0,Not specified,Education Jobs/Employment Crime and Safety; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media Online News Websites; 0.0; 1.0; 0.0; 1.0; 0.0
30-39,Female,Single,0.0,Tertiary,Self-employed, 40001-50000,Yes,No reason provided,Likely,Very Interested,0.0,Not specified,Jobs/Employment Crime and Safety Environment/Climate Change Taxes; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0,TV News Online News Websites Social Media; 1.0; 1.0; 0.0; 1.0; 0.0
50-59,Male,Married,2.0,Secondary,Self-employed,Less than 10000,Yes,No reason provided,Very Unlikely,Slightly interested,0.0,Not specified,Education Healthcare Crime and Safety; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media TV News; 1.0; 1.0; 0.0; 0.0; 0.0
40-49,Female,Divorced,4.0,Secondary,Self-employed, 20001-30000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Jobs/Employment Crime and Safety Environment/Climate Change Taxes; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
50-59,Male,Widowed,0.0,Tertiary,Self-employed, 20001-30000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Education Healthcare Jobs/Employment Crime and Safety Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
40-49,Female,Married,2.0,Secondary,Self-employed,Less than 10000,Yes,No reason provided,Very likely,Not at all Interested,0.0,Not specified,Crime and Safety Education Healthcare Taxes; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
30-39,Female,Married,3.0,Primary,Employed,Less than 10000,Yes,No reason provided,Very likely,Not at all Interested,0.0,Not specified,Transportation/Infrastructure Education; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Radio Social Media; 1.0; 1.0; 0.0; 0.0; 1.0
30-39,Female,Single,0.0,Secondary,Employed,Less than 10000,No,I didn't think my vote would make a difference,Very likely,Not at all Interested,0.0,Not specified,Education Healthcare Crime and Safety Taxes; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Radio Social Media; 1.0; 1.0; 0.0; 0.0; 1.0
30-39,Male,Married,2.0,Tertiary,Self-employed,10001-20000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Taxes Transportation/Infrastructure; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Radio Online News Websites Print Newspapers; 1.0; 1.0; 1.0; 1.0; 1.0
50-59,Male,Married,5.0,Secondary,Employed, 40001-50000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Taxes Social Justice/Equality Crime and Safety Affordable Housing; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0,TV News Print Newspapers; 1.0; 0.0; 1.0; 0.0; 0.0
30-39,Male,Married,2.0,Tertiary,Employed, 20001-30000,Yes,No reason provided,Not sure,Slightly interested,0.0,Not specified,Education Jobs/Employment Healthcare Affordable Housing Crime and Safety; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
<20,Female,Single,0.0,Secondary,Student,Less than 10000,Yes,No reason provided,Likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Crime and Safety; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
20-29,Female,Single,0.0,Secondary,Student,Less than 10000,Yes,No reason provided,Likely,Not at all Interested,0.0,Not specified,Jobs/Employment Healthcare; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Secondary,Unemployed,10001-20000,No,I didn't think my vote would make a difference,Unlikely,Slightly interested,0.0,Not specified,Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Married,1.0,Tertiary,Employed, 20001-30000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Jobs/Employment Healthcare Education Crime and Safety; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Employed,10001-20000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Healthcare Jobs/Employment Crime and Safety; 0.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Unemployed,10001-20000,No,I was not eligible to vote,Not sure,Not at all Interested,0.0,Not specified,Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
<20,Female,Single,0.0,Secondary,Unemployed,Less than 10000,No,Other,Very Unlikely,Not at all Interested,0.0,Not specified,Jobs/Employment Healthcare; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
40-49,Female,Married,3.0,Tertiary,Self-employed, 20001-30000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Taxes Jobs/Employment Healthcare; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Female,Single,0.0,Tertiary,Unemployed,Less than 10000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
20-29,Female,Married,1.0,Secondary,Self-employed,Less than 10000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Jobs/Employment Taxes; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
30-39,Female,Married,2.0,Secondary,Unemployed,Less than 10000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Jobs/Employment Taxes; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
<20,Male,Single,0.0,Secondary,Student,Less than 10000,No,I was not eligible to vote,Very likely,Very Interested,0.0,Not specified,Crime and Safety; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media Radio TV News; 1.0; 1.0; 0.0; 0.0; 1.0
20-29,Female,Married,1.0,Tertiary,Employed, 20001-30000,Yes,No reason provided,Not sure,Interested,0.0,Not specified,Education Taxes Crime and Safety Healthcare Jobs/Employment Affordable Housing; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
20-29,Male,Married,1.0,Secondary,Employed,Less than 10000,No,No reason provided,Very Unlikely,Very Interested,0.0,Not specified,Healthcare Jobs/Employment Crime and Safety; 0.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Radio Social Media Print Newspapers; 1.0; 1.0; 1.0; 0.0; 1.0
20-29,Male,Married,2.0,Secondary,Unemployed,Less than 10000,Yes,No reason provided,Likely,Interested,1.0,News feeds,Education Jobs/Employment Transportation/Infrastructure; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Online News Websites Radio Other ; 1.0; 1.0; 0.0; 1.0; 1.0
50-59,Male,Widowed,3.0,Secondary,Self-employed, 40001-50000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Jobs/Employment Social Justice/Equality; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
40-49,Female,Divorced,2.0,Unknown,Unemployed,Less than 10000,No,I didn't think my vote would make a difference,Not sure,Not at all Interested,0.0,Not specified,Jobs/Employment Social Justice/Equality; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
30-39,Male,Married,1.0,Secondary,Unemployed,Less than 10000,No,I didn't think my vote would make a difference,Likely,Slightly interested,0.0,Not specified,Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio TV News; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Female,Single,0.0,Tertiary,Student,Less than 10000,No,I didn't like the candidates,Very likely,Slightly interested,0.0,Not specified,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Print Newspapers Online News Websites; 1.0; 1.0; 1.0; 1.0; 0.0
40-49,Male,Widowed,1.0,Secondary,Employed, 40001-50000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Transportation/Infrastructure Crime and Safety; 1.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
30-39,Female,Married,3.0,Secondary,Employed, 20001-30000,No,Other,Very likely,Slightly interested,0.0,Not specified,Education Social Justice/Equality; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
50-59,Female,Widowed,3.0,Secondary,Employed, 40001-50000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Education Healthcare Crime and Safety; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
30-39,Female,Married,5.0,Primary,Self-employed, 20001-30000,No,Other,Likely,Slightly interested,0.0,Not specified,Education Social Justice/Equality Transportation/Infrastructure; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
60,Male,Widowed,4.0,Primary,Self-employed, 20001-30000,Yes,No reason provided,Likely,Very Interested,0.0,Not specified,Education Social Justice/Equality Transportation/Infrastructure; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0,TV News Online News Websites; 1.0; 0.0; 0.0; 1.0; 0.0
30-39,Female,Married,3.0,Secondary,Employed, 20001-30000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Transportation/Infrastructure Crime and Safety; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
40-49,Female,Married,5.0,Secondary,Self-employed, 40001-50000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Environment/Climate Change Transportation/Infrastructure Other ; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 1.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Jobs/Employment Affordable Housing Crime and Safety; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio Online News Websites Social Media Print Newspapers; 0.0; 1.0; 1.0; 1.0; 1.0
40-49,Female,Divorced,2.0,Primary,Unemployed,10001-20000,No,I didn't think my vote would make a difference,Likely,Interested,0.0,Not specified,Healthcare Other ; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0,Social Media Print Newspapers TV News; 1.0; 1.0; 1.0; 0.0; 0.0
20-29,Female,Married,1.0,Tertiary,Unemployed,Less than 10000,Yes,No reason provided,Very likely,Not at all Interested,0.0,Not specified,Education Jobs/Employment; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
40-49,Male,Married,4.0,Secondary,Employed, 40001-50000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Affordable Housing Crime and Safety Transportation/Infrastructure; 0.0; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Online News Websites Print Newspapers; 1.0; 1.0; 1.0; 1.0; 0.0
20-29,Female,Married,2.0,Secondary,Employed,10001-20000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Healthcare Other ; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
50-59,Female,Widowed,4.0,Primary,Employed,Less than 10000,No,Other,Likely,Interested,0.0,Not specified,Healthcare Transportation/Infrastructure Social Justice/Equality; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0,Social Media TV News; 1.0; 1.0; 0.0; 0.0; 0.0
30-39,Female,Married,3.0,Secondary,Employed, 20001-30000,Yes,I didn't have time,Very likely,Slightly interested,0.0,Not specified,Affordable Housing Jobs/Employment Other ; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
